import time: self [us] | cumulative | imported package
import time:       985 |        985 |             attr._config
import time:       811 |        811 |               attr.exceptions
import time:       858 |       1669 |             attr.setters
import time:      4532 |       7185 |           attr._make
import time:       923 |       8799 |         attr.converters
import time:       676 |        676 |         attr.filters
import time:      5008 |       5008 |         attr.validators
import time:       890 |        890 |         attr._cmp
import time:       923 |        923 |         attr._funcs
import time:       850 |        850 |         attr._next_gen
import time:      1091 |       1091 |         attr._version_info
import time:      1310 |      19545 |       attr
import time:       781 |        781 |       mediapipe.calculators.util.collection_has_min_size_calculator_pb2
import time:       709 |        709 |       mediapipe.calculators.util.detection_label_id_to_text_calculator_pb2
import time:       683 |        683 |       mediapipe.modules.objectron.calculators.frame_annotation_to_rect_calculator_pb2
import time:      4229 |      25945 |     mediapipe.python.solutions.objectron
import time:      1093 |       1093 |     mediapipe.python.solutions.selfie_segmentation
import time:      1144 |     806342 |   mediapipe.python.solutions
import time:       828 |        828 |     mediapipe.tasks
import time:       966 |        966 |       mediapipe.tasks.python.audio.core
import time:       630 |        630 |               mediapipe.tasks.cc
import time:       787 |       1416 |             mediapipe.tasks.cc.audio
import time:       773 |       2189 |           mediapipe.tasks.cc.audio.audio_classifier
import time:       752 |       2940 |         mediapipe.tasks.cc.audio.audio_classifier.proto
import time:       944 |        944 |               mediapipe.tasks.cc.components
import time:       927 |       1871 |             mediapipe.tasks.cc.components.processors
import time:       908 |       2779 |           mediapipe.tasks.cc.components.processors.proto
import time:      1282 |       1282 |           mediapipe.tasks.cc.components.processors.proto.classifier_options_pb2
import time:      1153 |       1153 |             mediapipe.tasks.cc.core
import time:       861 |       2014 |           mediapipe.tasks.cc.core.proto
import time:       945 |        945 |             mediapipe.tasks.cc.core.proto.acceleration_pb2
import time:      1037 |       1037 |             mediapipe.tasks.cc.core.proto.external_file_pb2
import time:       894 |       2874 |           mediapipe.tasks.cc.core.proto.base_options_pb2
import time:      1131 |      10079 |         mediapipe.tasks.cc.audio.audio_classifier.proto.audio_classifier_graph_options_pb2
import time:       721 |        721 |           mediapipe.tasks.cc.components.containers
import time:      1668 |       2388 |         mediapipe.tasks.cc.components.containers.proto
import time:      1139 |       1139 |         mediapipe.tasks.cc.components.containers.proto.classifications_pb2
import time:      1097 |       1097 |         mediapipe.tasks.python.audio.core.audio_task_running_mode
import time:       895 |        895 |               ctypes.util
import time:      3618 |       3618 |                 _cffi_backend
import time:      1189 |       4807 |               _sounddevice
import time:      1162 |       1162 |               _sounddevice_data
import time:    247687 |     254550 |             sounddevice
import time:       682 |     255231 |           mediapipe.tasks.python.audio.core.audio_record
import time:      1049 |       1049 |             mediapipe.tasks.python.core
import time:       398 |        398 |                 tensorflow
import time:        25 |        423 |               tensorflow.tools
import time:        24 |        446 |             tensorflow.tools.docs
import time:      1237 |       2731 |           mediapipe.tasks.python.core.optional_dependencies
import time:       880 |     258842 |         mediapipe.tasks.python.audio.core.base_audio_task_api
import time:       704 |        704 |           mediapipe.tasks.python.components
import time:      1248 |       1248 |           mediapipe.tasks.python.components.containers.audio_data
import time:      1447 |       1447 |           mediapipe.tasks.python.components.containers.bounding_box
import time:      1294 |       1294 |           mediapipe.tasks.python.components.containers.category
import time:      1959 |       1959 |           mediapipe.tasks.python.components.containers.classification_result
import time:       961 |        961 |             mediapipe.tasks.python.components.containers.keypoint
import time:      1232 |       2193 |           mediapipe.tasks.python.components.containers.detections
import time:       803 |        803 |             mediapipe.tasks.cc.components.containers.proto.embeddings_pb2
import time:      1183 |       1986 |           mediapipe.tasks.python.components.containers.embedding_result
import time:      1281 |       1281 |           mediapipe.tasks.python.components.containers.landmark
import time:       975 |        975 |             mediapipe.tasks.cc.components.containers.proto.landmarks_detection_result_pb2
import time:      1789 |       1789 |             mediapipe.tasks.python.components.containers.rect
import time:      1125 |       3889 |           mediapipe.tasks.python.components.containers.landmark_detection_result
import time:      1116 |      17112 |         mediapipe.tasks.python.components.containers
import time:      1429 |       1429 |         mediapipe.tasks.python.core.base_options
import time:       888 |        888 |           mediapipe.calculators.core.flow_limiter_calculator_pb2
import time:      1093 |       1981 |         mediapipe.tasks.python.core.task_info
import time:      1800 |     298803 |       mediapipe.tasks.python.audio.audio_classifier
import time:       773 |        773 |           mediapipe.tasks.cc.audio.audio_embedder
import time:       840 |       1612 |         mediapipe.tasks.cc.audio.audio_embedder.proto
import time:       763 |        763 |           mediapipe.tasks.cc.components.processors.proto.embedder_options_pb2
import time:       968 |       1731 |         mediapipe.tasks.cc.audio.audio_embedder.proto.audio_embedder_graph_options_pb2
import time:      1532 |       4874 |       mediapipe.tasks.python.audio.audio_embedder
import time:       887 |     305528 |     mediapipe.tasks.python.audio
import time:      1267 |       1267 |     mediapipe.tasks.python.genai
import time:       592 |        592 |             mediapipe.tasks.cc.text
import time:       852 |       1443 |           mediapipe.tasks.cc.text.text_classifier
import time:      1876 |       3319 |         mediapipe.tasks.cc.text.text_classifier.proto
import time:      1104 |       1104 |         mediapipe.tasks.cc.text.text_classifier.proto.text_classifier_graph_options_pb2
import time:       676 |        676 |         mediapipe.tasks.python.text.core
import time:       688 |        688 |         mediapipe.tasks.python.text.core.base_text_task_api
import time:      2268 |       8052 |       mediapipe.tasks.python.text.language_detector
import time:      1185 |       1185 |       mediapipe.tasks.python.text.text_classifier
import time:       643 |        643 |           mediapipe.tasks.cc.text.text_embedder
import time:       787 |       1429 |         mediapipe.tasks.cc.text.text_embedder.proto
import time:       959 |        959 |         mediapipe.tasks.cc.text.text_embedder.proto.text_embedder_graph_options_pb2
import time:       606 |        606 |         mediapipe.tasks.python.components.utils
import time:       837 |        837 |         mediapipe.tasks.python.components.utils.cosine_similarity
import time:      1131 |       4960 |       mediapipe.tasks.python.text.text_embedder
import time:       779 |      14974 |     mediapipe.tasks.python.text
import time:       837 |        837 |       mediapipe.tasks.python.vision.core
import time:       528 |        528 |             mediapipe.tasks.cc.vision
import time:       704 |       1232 |           mediapipe.tasks.cc.vision.face_stylizer
import time:       705 |       1936 |         mediapipe.tasks.cc.vision.face_stylizer.proto
import time:       533 |        533 |             mediapipe.tasks.cc.vision.face_landmarker
import time:      1260 |       1793 |           mediapipe.tasks.cc.vision.face_landmarker.proto
import time:       542 |        542 |               mediapipe.tasks.cc.vision.face_detector
import time:      1085 |       1626 |             mediapipe.tasks.cc.vision.face_detector.proto
import time:       885 |        885 |             mediapipe.tasks.cc.vision.face_detector.proto.face_detector_graph_options_pb2
import time:       547 |        547 |               mediapipe.tasks.cc.vision.face_geometry
import time:       627 |       1173 |             mediapipe.tasks.cc.vision.face_geometry.proto
import time:       503 |        503 |               mediapipe.tasks.cc.vision.face_geometry.calculators
import time:       713 |        713 |               mediapipe.tasks.cc.vision.face_geometry.calculators.geometry_pipeline_calculator_pb2
import time:       806 |       2022 |             mediapipe.tasks.cc.vision.face_geometry.proto.face_geometry_graph_options_pb2
import time:       936 |        936 |               mediapipe.tasks.cc.vision.face_landmarker.proto.face_blendshapes_graph_options_pb2
import time:       760 |       1695 |             mediapipe.tasks.cc.vision.face_landmarker.proto.face_landmarks_detector_graph_options_pb2
import time:      1180 |       8580 |           mediapipe.tasks.cc.vision.face_landmarker.proto.face_landmarker_graph_options_pb2
import time:       782 |      11155 |         mediapipe.tasks.cc.vision.face_stylizer.proto.face_stylizer_graph_options_pb2
import time:      1091 |       1091 |           mediapipe.tasks.python.vision.core.image_processing_options
import time:       908 |        908 |           mediapipe.tasks.python.vision.core.vision_task_running_mode
import time:      1163 |       3160 |         mediapipe.tasks.python.vision.core.base_vision_task_api
import time:      1000 |      17250 |       mediapipe.tasks.python.vision.face_aligner
import time:      1356 |       1356 |       mediapipe.tasks.python.vision.face_detector
import time:      1354 |       1354 |           mediapipe.tasks.cc.vision.face_geometry.proto.mesh_3d_pb2
import time:       731 |       2085 |         mediapipe.tasks.cc.vision.face_geometry.proto.face_geometry_pb2
import time:      4194 |       6279 |       mediapipe.tasks.python.vision.face_landmarker
import time:      1641 |       1641 |       mediapipe.tasks.python.vision.face_stylizer
import time:       771 |        771 |           mediapipe.tasks.cc.vision.gesture_recognizer
import time:       790 |       1561 |         mediapipe.tasks.cc.vision.gesture_recognizer.proto
import time:       691 |        691 |             mediapipe.tasks.cc.vision.gesture_recognizer.proto.gesture_classifier_graph_options_pb2
import time:       630 |        630 |             mediapipe.tasks.cc.vision.gesture_recognizer.proto.gesture_embedder_graph_options_pb2
import time:       877 |       2197 |           mediapipe.tasks.cc.vision.gesture_recognizer.proto.hand_gesture_recognizer_graph_options_pb2
import time:       581 |        581 |             mediapipe.tasks.cc.vision.hand_landmarker
import time:       712 |       1293 |           mediapipe.tasks.cc.vision.hand_landmarker.proto
import time:       583 |        583 |               mediapipe.tasks.cc.vision.hand_detector
import time:       698 |       1280 |             mediapipe.tasks.cc.vision.hand_detector.proto
import time:      1211 |       1211 |             mediapipe.tasks.cc.vision.hand_detector.proto.hand_detector_graph_options_pb2
import time:      1238 |       1238 |             mediapipe.tasks.cc.vision.hand_landmarker.proto.hand_landmarks_detector_graph_options_pb2
import time:       819 |       4546 |           mediapipe.tasks.cc.vision.hand_landmarker.proto.hand_landmarker_graph_options_pb2
import time:       919 |       8955 |         mediapipe.tasks.cc.vision.gesture_recognizer.proto.gesture_recognizer_graph_options_pb2
import time:      1399 |       1399 |           mediapipe.tasks.python.components.processors.classifier_options
import time:      1004 |       2403 |         mediapipe.tasks.python.components.processors
import time:      1741 |      14658 |       mediapipe.tasks.python.vision.gesture_recognizer
import time:      2708 |       2708 |       mediapipe.tasks.python.vision.hand_landmarker
import time:       809 |        809 |           mediapipe.tasks.cc.vision.holistic_landmarker
import time:       945 |       1753 |         mediapipe.tasks.cc.vision.holistic_landmarker.proto
import time:       936 |        936 |           mediapipe.tasks.cc.vision.hand_landmarker.proto.hand_roi_refinement_graph_options_pb2
import time:       820 |        820 |             mediapipe.tasks.cc.vision.pose_detector
import time:      1006 |       1825 |           mediapipe.tasks.cc.vision.pose_detector.proto
import time:      1220 |       1220 |           mediapipe.tasks.cc.vision.pose_detector.proto.pose_detector_graph_options_pb2
import time:       825 |        825 |             mediapipe.tasks.cc.vision.pose_landmarker
import time:      1738 |       2563 |           mediapipe.tasks.cc.vision.pose_landmarker.proto
import time:      1407 |       1407 |           mediapipe.tasks.cc.vision.pose_landmarker.proto.pose_landmarks_detector_graph_options_pb2
import time:      1235 |       9184 |         mediapipe.tasks.cc.vision.holistic_landmarker.proto.holistic_landmarker_graph_options_pb2
import time:      1062 |       1062 |         mediapipe.tasks.cc.vision.holistic_landmarker.proto.holistic_result_pb2
import time:      2518 |      14515 |       mediapipe.tasks.python.vision.holistic_landmarker
import time:       709 |        709 |           mediapipe.tasks.cc.vision.image_classifier
import time:       846 |       1554 |         mediapipe.tasks.cc.vision.image_classifier.proto
import time:      1083 |       1083 |         mediapipe.tasks.cc.vision.image_classifier.proto.image_classifier_graph_options_pb2
import time:      1864 |       4500 |       mediapipe.tasks.python.vision.image_classifier
import time:       770 |        770 |           mediapipe.tasks.cc.vision.image_embedder
import time:      1184 |       1953 |         mediapipe.tasks.cc.vision.image_embedder.proto
import time:      1240 |       1240 |         mediapipe.tasks.cc.vision.image_embedder.proto.image_embedder_graph_options_pb2
import time:      2236 |       5428 |       mediapipe.tasks.python.vision.image_embedder
import time:       774 |        774 |           mediapipe.tasks.cc.vision.image_segmenter
import time:      1171 |       1945 |         mediapipe.tasks.cc.vision.image_segmenter.calculators
import time:       683 |        683 |           mediapipe.tasks.cc.vision.image_segmenter.proto
import time:      1218 |       1218 |           mediapipe.tasks.cc.vision.image_segmenter.proto.segmenter_options_pb2
import time:      1275 |       3175 |         mediapipe.tasks.cc.vision.image_segmenter.calculators.tensors_to_segmentation_calculator_pb2
import time:       989 |        989 |         mediapipe.tasks.cc.vision.image_segmenter.proto.image_segmenter_graph_options_pb2
import time:      1858 |       7966 |       mediapipe.tasks.python.vision.image_segmenter
import time:       803 |        803 |           mediapipe.util.color_pb2
import time:      1067 |       1870 |         mediapipe.util.render_data_pb2
import time:      2028 |       3898 |       mediapipe.tasks.python.vision.interactive_segmenter
import time:       939 |        939 |           mediapipe.tasks.cc.vision.object_detector
import time:       974 |       1913 |         mediapipe.tasks.cc.vision.object_detector.proto
import time:      1074 |       1074 |         mediapipe.tasks.cc.vision.object_detector.proto.object_detector_options_pb2
import time:      1559 |       4544 |       mediapipe.tasks.python.vision.object_detector
import time:       873 |        873 |         mediapipe.tasks.cc.vision.pose_landmarker.proto.pose_landmarker_graph_options_pb2
import time:      2923 |       3796 |       mediapipe.tasks.python.vision.pose_landmarker
import time:      1082 |      90450 |     mediapipe.tasks.python.vision
import time:       934 |     413980 |   mediapipe.tasks.python
import time:       807 |    1337230 | mediapipe
import time:      1303 |       1303 |   _queue
import time:      1484 |       2787 | queue
import time:       618 |        618 | gtts
import time:       864 |        864 |     pyttsx3.driver
import time:       960 |       1823 |   pyttsx3.engine
import time:      1112 |       2935 | pyttsx3
import time:       982 |        982 |       comtypes.patcher
import time:       810 |        810 |       comtypes._npsupport
import time:       621 |        621 |       comtypes._tlib_version_checker
import time:       847 |        847 |       comtypes.GUID
import time:      2177 |       2177 |       comtypes._memberspec
import time:       851 |        851 |             comtypes.hresult
import time:       727 |       1577 |           comtypes._post_coinit._cominterface_meta_patcher
import time:       629 |        629 |           comtypes._post_coinit.instancemethod
import time:      1476 |       3681 |         comtypes._post_coinit.unknwn
import time:      1025 |       4706 |       comtypes._post_coinit
import time:       795 |        795 |       comtypes._post_coinit.bstr
import time:      1124 |       1124 |           comtypes._safearray
import time:      1229 |       1229 |           comtypes.safearray
import time:      1957 |       4309 |         comtypes.automation
import time:      1518 |       5827 |       comtypes._post_coinit.misc
import time:      1237 |       1237 |       comtypes._post_coinit.activeobj
import time:      1814 |       1814 |           comtypes.errorinfo
import time:      1318 |       3131 |         comtypes._vtbl
import time:      4860 |       4860 |         comtypes.typeinfo
import time:      1973 |       9964 |       comtypes._comobject
import time:      1051 |       1051 |       comtypes._meta
import time:      1810 |      30820 |     comtypes
import time:       924 |        924 |       comtypes.client.lazybind
import time:      1418 |       2342 |     comtypes.client.dynamic
import time:       591 |        591 |           comtypes.tools
import time:       758 |        758 |             comtypes.tools.codegenerator.modulenamer
import time:      1193 |       1193 |                   comtypes.tools.typedesc_base
import time:      1168 |       2360 |                 comtypes.tools.typedesc
import time:      1591 |       3950 |               comtypes.tools.tlbparser
import time:      1622 |       1622 |                 comtypes.tools.codegenerator.typeannotator
import time:       858 |       2479 |               comtypes.tools.codegenerator.heads
import time:      1094 |       1094 |               comtypes.tools.codegenerator.namespaces
import time:       911 |        911 |               comtypes.tools.codegenerator.packing
import time:       881 |        881 |               comtypes.tools.codegenerator.comments
import time:      1135 |       1135 |               comtypes.tools.codegenerator.helpers
import time:      1905 |      12352 |             comtypes.tools.codegenerator.codegenerator
import time:       684 |      13794 |           comtypes.tools.codegenerator
import time:       900 |      15284 |         comtypes.client._generate
import time:       751 |      16034 |       comtypes.client._managing
import time:       970 |      17004 |     comtypes.client._activeobj
import time:      1047 |       1047 |     comtypes.client._code_cache
import time:       837 |        837 |     comtypes.client._constants
import time:      1380 |       1380 |       comtypes.connectionpoints
import time:      1431 |       2811 |     comtypes.client._events
import time:      1101 |       1101 |     comtypes.gen
import time:      1308 |       1308 |     comtypes.client._create
import time:      1450 |      58716 |   comtypes.client
import time:      2627 |       2627 |       comtypes.gen._00020430_0000_0000_C000_000000000046_0_2_0
import time:      1468 |       1468 |       comtypes.stream
import time:     27099 |      31193 |     comtypes.gen._C866CA3A_32F7_11D2_9602_00C04F8EE628_0_5_4
import time:     15041 |      46233 |   comtypes.gen.SpeechLib
import time:      1382 |       1382 |       _win32sysloader
import time:      4524 |       5906 |     pywintypes
import time:      8934 |      14840 |   pythoncom
import time:       869 |        869 |   pyttsx3.voice
import time:    110647 |     231303 | pose_draw
INFO: Created TensorFlow Lite XNNPACK delegate for CPU.
WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
W0000 00:00:1758425480.529293   67464 inference_feedback_manager.cc:114] Feedback manager requires a model with a single signature inference. Disabling support for feedback tensors.
W0000 00:00:1758425480.654324   67464 inference_feedback_manager.cc:114] Feedback manager requires a model with a single signature inference. Disabling support for feedback tensors.
W0000 00:00:1758425481.422340   73332 landmark_projection_calculator.cc:186] Using NORM_RECT without IMAGE_DIMENSIONS is only supported for the square ROI. Provide IMAGE_DIMENSIONS or use PROJECTION_MATRIX.
