import time: self [us] | cumulative | imported package
import time:      2567 |       2567 |         platform
import time:      2028 |       6762 |       numpy.lib.utils
import time:      1238 |       1238 |       numpy.lib.arraysetops
import time:      1013 |       1013 |           _weakrefset
import time:      1175 |       2188 |         weakref
import time:      1100 |       1100 |         numpy.lib.format
import time:      1025 |       1025 |         numpy.lib._datasource
import time:      1188 |       1188 |         numpy.lib._iotools
import time:      1532 |       7031 |       numpy.lib.npyio
import time:       864 |        864 |       numpy.lib.arrayterator
import time:       913 |        913 |       numpy.lib.arraypad
import time:       914 |        914 |       numpy.lib._version
import time:      1233 |      54706 |     numpy.lib
import time:      1104 |       1104 |         numpy.fft._pocketfft_internal
import time:      1307 |       2411 |       numpy.fft._pocketfft
import time:      1054 |       1054 |       numpy.fft.helper
import time:       872 |       4336 |     numpy.fft
import time:       957 |        957 |         numpy.polynomial.polyutils
import time:       988 |        988 |         numpy.polynomial._polybase
import time:      1555 |       3499 |       numpy.polynomial.polynomial
import time:      1295 |       1295 |       numpy.polynomial.chebyshev
import time:      1115 |       1115 |       numpy.polynomial.legendre
import time:      1282 |       1282 |       numpy.polynomial.hermite
import time:      1371 |       1371 |       numpy.polynomial.hermite_e
import time:      1326 |       1326 |       numpy.polynomial.laguerre
import time:      1064 |      10949 |     numpy.polynomial
import time:       515 |        515 |               backports_abc
import time:      3194 |       3709 |             numpy.random._common
import time:        94 |         94 |                 binascii
import time:      1131 |       1225 |               base64
import time:     20664 |      20664 |                 _hashlib
import time:       211 |        211 |                   _blake2
import time:      1845 |       2055 |                 hashlib
import time:      1435 |      24153 |               hmac
import time:        52 |         52 |                   _bisect
import time:       976 |       1028 |                 bisect
import time:        31 |         31 |                 _random
import time:        27 |         27 |                 _sha512
import time:      1897 |       2981 |               random
import time:      1223 |      29581 |             secrets
import time:      2435 |       2435 |             threading
import time:      2741 |      38465 |           numpy.random.bit_generator
import time:      2331 |       2331 |           numpy.random._bounded_integers
import time:      1528 |       1528 |           numpy.random._mt19937
import time:      6529 |      48852 |         numpy.random.mtrand
import time:      1437 |       1437 |         numpy.random._philox
import time:      1282 |       1282 |         numpy.random._pcg64
import time:      1072 |       1072 |         numpy.random._sfc64
import time:      5419 |       5419 |         numpy.random._generator
import time:      1075 |      59135 |       numpy.random._pickle
import time:       885 |      60019 |     numpy.random
import time:      1820 |       1820 |     numpy.ctypeslib
import time:        66 |         66 |               _opcode
import time:      1197 |       1263 |             opcode
import time:      1543 |       2805 |           dis
import time:        89 |         89 |           importlib.machinery
import time:       843 |        843 |               token
import time:      1548 |       2391 |             tokenize
import time:      1036 |       3427 |           linecache
import time:      2488 |       8807 |         inspect
import time:      4613 |      13420 |       numpy.ma.core
import time:      3158 |       3158 |       numpy.ma.extras
import time:      1032 |      17609 |     numpy.ma
import time:      4980 |     272640 |   numpy
import time:       465 |        465 |         org
import time:        30 |        494 |       org.python
import time:        25 |        519 |     org.python.core
import time:      1262 |       1781 |   copy
import time:      1238 |       1238 |   cv2.load_config_py3
import time:       697 |        697 |   cv2.version
import time:      1242 |       1242 |     numpy._core
import time:      1365 |       2607 |   numpy._core._multiarray_umath
